NUM,SECTION,1/1/10,1/2/10,1/3/10,1/4/10,1/5/10,1/6/10,1/7/10,1/8/10,1/9/10,1/10/10,1/11/10,1/12/10,1/13/10,1/14/10,1/15/10,1/16/10,1/17/10,1/18/10,1/19/10,1/20/10,1/21/10,1/22/10,1/23/10,1/24/10,1/25/10,1/26/10,1/27/10,1/28/10,1/29/10,1/30/10,1/31/10,1/1/11,1/2/11,1/3/11,1/4/11,1/5/11,1/6/11,1/7/11,1/8/11,1/9/11,1/10/11,1/11/11,1/12/11,1/13/11,1/14/11,1/15/11,1/16/11,1/17/11,1/18/11,1/19/11,1/20/11,1/21/11,1/22/11,1/23/11,1/24/11,1/25/11,1/26/11,1/27/11,1/28/11,1/29/11,1/30/11,1/31/11,1/1/13,1/2/13,1/3/13,1/4/13,1/5/13,1/6/13,1/7/13,1/8/13,1/9/13,1/10/13,1/11/13,1/12/13,1/13/13,1/14/13,1/15/13,1/16/13,1/17/13,1/18/13,1/19/13,1/20/13,1/21/13,1/22/13,1/23/13,1/24/13,1/25/13,1/26/13,1/27/13,1/28/13,1/29/13,1/30/13,1/31/13,1/1/14,1/2/14,1/3/14,1/4/14,1/5/14,1/6/14,1/7/14,1/8/14,1/9/14,1/10/14,1/11/14,1/12/14,1/13/14,1/14/14,1/15/14,1/16/14,1/17/14,1/18/14,1/19/14,1/20/14,1/21/14,1/22/14,1/23/14,1/24/14,1/25/14,1/26/14,1/27/14,1/28/14,1/29/14,1/30/14,1/31/14,1/1/15,1/2/15,1/3/15,1/4/15,1/5/15,1/6/15,1/7/15,1/8/15,1/9/15,1/10/15,1/11/15,1/12/15,1/13/15,1/14/15,1/15/15,1/16/15,1/17/15,1/18/15,1/19/15,1/20/15,1/21/15,1/22/15,1/23/15,1/24/15,1/25/15,1/26/15,1/27/15,1/28/15,1/29/15,1/30/15,1/31/15
1,NORTHSHORE,0,0,0,30,40,30,30,40,50,40,70,90,80,80,80,70,70,60,60,60,60,60,60,50,40,50,60,80,80,90,90,30,20,0,10,0,20,30,30,30,50,60,90,90,70,70,90,80,90,90,90,80,70,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,40,40,40,40,10,10,10,10,30,70,80,60,60,70,70,90,90,90,90,90,90,90,9090,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,10,20,40,50,50,90,90,90,90,80,90,80,90,90,90,80,80,70,60,90,90,90,90,90
2,SOUTSHORE,0,0,0,0,0,0,0,0,0,20,70,70,70,70,60,60,50,40,300,30,40,40,40,40,40,50,40,40,50,60,90,40,20,0,10,0,20,20,10,20,30,30,40,70,70,70,90,90,90,90,90,90,90,100,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,40,40,40,10,10,10,0,10,10,30,20,20,70,80,90,90,80,80,70,60,50,50,50,40,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,10,10,40,50,50,90,90,90,90,90,70,80,80,80,80,90,80,90,80,90,90,90,90,90
3,EASTEND,30,0,0,30,0,0,0,0,0,20,50,50,50,50,40,30,20,20,20,30,30,30,30,30,30,30,20,20,30,50,70,20,20,0,10,0,20,20,10,10,20,20,30,40,50,50,20,20,80,70,80,70,70,90,90,90,90,90,90,90,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,40,10,20,20,20,10,10,20,10,10,70,70,20,10,70,80,70,80,80,70,60,50,40,40,50,40,40,80,80,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,10,10,10,10,10,20,30,30,60,70,60,50,50,50,50,60,70,80,80,70,70,50,90,90,90,90
4,WESTEND,70,70,90,90,90,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,80,70,90,80,80,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,30,30,30,50,60,50,30,20,0,0,10,10,0,10,10,0,0,0,0,80,90,90,90,90,90,90,70,70,70,90,90,90,90,90,90,90,90,90,90,90,80,70,70,60,60,60,60,90,90,90,90,90,90,90,90,90,90,90,90,90,0,10,30,10,10,10,80,70,80,80,80,80,90,90,90,90,80,80,80,80,80,80,80,70,80,70,90,90,90,90,90
5,STCLAIR,30,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,80,90,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,90,90,90,100,100,100,100,100,100,100,100,80,70,80,80,80,90,80,70,60,50,40,30,30,30,30,10,0,10,20,0,0,90,90,90,90,90,90,90,90,80,90,90,70,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,70,80,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
